title,description,prod_details,ASIN,Manfacturer
"GoHustle Business Class Convertible Laptop Backpack Bag | Waterproof Raincover | 30L, Upto 17 inch laptop bag, Keyholder & Organizer, Black Color","  Care Instructions: Machine Wash    ✈【Flight Approved Carry on Backpack】: Size of travel backpack: 17*11.5*7 inches. Capacity: 30L. This luggage backpack meets the allowed maximum size of most IATA flights and also fits in the overhead compartment and the underseat in flight. The portable opening facilitates you to quickly pass the airport security check. It also has built-in elastic bands to keep your clothes from falling out. This travel backpack is great for flight travel, camping, hiking, college, etc.    ✈【Large Capacity & Well Organized】: The travel weekend backpack with many compartments is meet the needs of daily & trips. It has a spacious main compartment to store lots including 4 to 6 clothes, shoes, books, and so many other items. One laptop compartment holds laptops up to 17.3 inches. One wet pocket for toiletries and wet items. A front compartment with various pockets can store small items. One side pocket for easy access essentials like a water bottle or umbrella.    ✈【Practical & Comfortable Design】: The handles are set on top and one side, which allows an easy switch between backpack and suitcase. Breathable sponge mesh design on the backside and shoulder straps help for the air convection, ventilation, and heat elimination and help relieve the stress from your shoulder.    ✈【Durable & Multipurpose】: The personal item travel bag is made of high-quality water-repellent fabric, lightweight, waterproof, and anti-wrinkle. Sturdy explosion-proof branded zipper and upgraded reinforced stitching make it last longer. This stylish luggage backpack can be used as a laptop backpack, outdoor travel backpack, business backpack, college daypack. If you have any questions, please feel free to contact us, we will give you a satisfactory solution within 24 hours.   ","  Product Dimensions:15 x 28 x 43.5 cm; 850 Grams   Date First Available:14 November 2022   Manufacturer:RCX Brands, Delhi - 110055. +91-9315775050 (Whatsapp)   ASIN:B0BM99GZ2K   Item model number:Business Class   Country of Origin:India   Department:Unisex-adult   Manufacturer:RCX Brands, Delhi - 110055. +91-9315775050 (Whatsapp), RCX Brands, Delhi - 110055. +91-9315775050 (Whatsapp)   Packer:RCX Brands, Delhi - 110055. +91-9315775050 (Whatsapp)   Item Weight:850 g   Item Dimensions LxWxH:15 x 28 x 43.5 Centimeters   Net Quantity:1.00 count   Generic Name:Overnighter Business Travel Backpack  ",B0BM99GZ2K,"RCX Brands, Delhi - 110055. +91-9315775050 (Whatsapp)"
"Eco Right Large Tote Bag for Women with Zip, Stylish Cotton Handbags, Canvas Tote Bags for College","  Care Instructions: Machine Wash    SPACIOUS & STURDY: Measuring 17 inch x 14.5 inch in medium size with a 4 inch bottom gusset, these canvas tote bags for women stylish are light weight with an inner pocket to store your essentials.    CANVAS TOTE BAG WITH ZIP: These big ladies handbags for women come with zip closure & have a zippered pocket inside. It has ample capacity to fit your groceries, books & carry travelling essentials.    AESTHETIC HANDBAG : These shoulder bags for women with latest original graphic design give major boho Y2k fashion vibes & are just the right utility totebag for carrying laptop to work or school, Also makes a cute gifts for women & girls.    REUSABLE & EASY TO WASH: These cute printed cotton tote bags for women are machine washable & have multiple use, they can easily be used as beach bag, shopping bag with zip, side bag for college, gym, travel, office purse.    ECO FRIENDLY & ETHICAL: All our simple totes are vegan and made in ethically certified facilities (SEDEX 4-pillar) that run on solar power. All our cloth hand bags are packaged in recycled packaging. Quick delivery & easy return.   ",  Is Discontinued By Manufacturer:No   Product Dimensions:48.3 x 12.7 x 39.4 cm; 200 Grams   Date First Available:18 March 2017   Manufacturer:EcoRight   ASIN:B06XRQRDCY   Item model number:0202F01   Country of Origin:India   Department:Women   Manufacturer:EcoRight   Item Weight:200 g   Item Dimensions LxWxH:48.3 x 12.7 x 39.4 Centimeters   Net Quantity:1.00 count   Included Components:Tote Bag  ,B06XRQRDCY,No
"Lunar's Unisex 50L Water Resistant Office/Travel/Business Laptop Backpack, Bag for up to 17.3 inch Laptop/MacBook with rain Cover and 2 Large compartments","  ?WATER RESISTANT WITH 1 YEAR WARRANTY - Stylish and durable unisex travel laptop backpack that is your perfect travel partner also suitable for Hiking or trekking. Size: 21 inch X 14 inch X 10.5 inch. Capacity : 50 liters. This Bag/Backpack is made of high grade water resistant polyester material that gives it strength and durable for long-term use. 12 months warranty for any manufacturing defects     ?MADE IN INDIA - This “MAKE IN INDIA” Product features 2 large zippered compartments, 1 zip pocket at front, 2 side bottle pockets, 4 lash points for yoga mat/help and 1 chest belt pocket to keep valuables.;Compartment Description: Greater Than 17 Inches; Age Range Description: Adult; Pocket Description: Zipper Pocket; Style Name: Casual Backpack; Color Name: Black; Pattern Name: Solid     ?PADDED LAPTOP SLEEVE AND INTERNAL ORGANISER : Padded Laptop sleeve with holder to secure upto 17.3"" Laptops. Compatible with laptops like HP / Lenovo / Acer / ASUS / Dell. Internal organiser to neatly organise and store your keys, cables, stationary and other valuables from theft. This Bag cum backpack can be used for office, college, school or even for hiking or trekking.     ?INBUILT RAIN COVER - Inbuilt raincover pocket at the bottom with Rain cover provided to help you protect your stuff from rain and dust. The Raincover is made of premium imported polyester fabric that can withstand heavy rains     ?BEST BACK SUPPORT - We have designed the bag keeping your comfort in mind. There are 2 load lifters on the backside to adjust your shoulder position based on weight. 2 Side load compression straps help to adjust the size of bag. Shoulder has 12MM high density padding, with adjustable sternum straps for chest support and adjustable padded hip belt for weight balancing on chest and hips    ","  Product Dimensions:26.67 x 35.56 x 53.34 cm; 820 Grams   Date First Available:15 November 2020   Manufacturer:Akshaya Rubbers, Hebbal Industrial Area, Mysore   ASIN:B08NHL52MK   Item model number:Travel Laptop Bag with Raincover   Country of Origin:India   Department:Unisex-adult   Manufacturer:Akshaya Rubbers, Hebbal Industrial Area, Mysore, 7022982998   Packer:PAZZO INDIA, Hebbal Industrial Area, Mysore   Item Weight:820 g   Item Dimensions LxWxH:26.7 x 35.6 x 53.3 Centimeters  ",B08NHL52MK,"Akshaya Rubbers, Hebbal Industrial Area, Mysore"
Skybags Brat Sea Green 46 Cms Casual Backpack,"  Combination of functional & safety features in stylish design, Soft mesh back with 8 mm foam padded 2 Main Compartment, 1 Slip In Pocket inside the bag, Printed Design, Mesh bottle holder on the side,   ","  Product Dimensions:35 x 13 x 46 cm; 350 Grams   Date First Available:15 March 2021   Manufacturer:VIP Industries Ltd   ASIN:B08Z21W4TG   Item model number:BPBRATESGN   Country of Origin:Bangladesh   Department:Unisex-adult   Manufacturer:VIP Industries Ltd, VIP Industries Ltd, VIP Industries Limited, DGP House, 88C, Old Prabhadevi Road, Prabhadevi, Mumbai 400025. India   Packer:VIP Industries Ltd, VIP Industries Limited, DGP House, 88C, Old Prabhadevi Road, Prabhadevi, Mumbai 400025. India   Importer:VIP Industries Ltd, VIP Industries Limited, DGP House, 88C, Old Prabhadevi Road, Prabhadevi, Mumbai 400025. India   Item Weight:350 g   Item Dimensions LxWxH:35 x 13 x 46 Centimeters   Generic Name:SKYBAGS BRAT (E) SEA GREEN  ",B08Z21W4TG,VIP Industries Ltd
Half Moon 45L Hammer Waterproof Laptop Travelling Rucksack Trekking Backpack for Travel Journey bags for Men Women Boys & Girls with 17.3inch Laptop Compartment & Rain cover,"  SPECIAL FEATURES : Back Padding, Chest Strap, Earphone Cord Support, Unique Design, Hip Belt, Integrated Rain Cover, Laptop Compartment, Telescope Handle, Water Bottle / Umbrella Pouch, Zip Closure, Padded Handles, Padded Shoulder Strap , Breathable Mesh etc.; Closure Type: Zipper; Age Range Description: Adult; Color Name: Navy Blue; Closure Type: Zipper; Age Range Description: Adult     Compartment Description: Up To 17 Inches     Pattern Name: Solid    ",  Product Dimensions:56 x 36 x 25 cm; 820 Grams   Date First Available:5 December 2020   Manufacturer:AB Amazing Bags   ASIN:B08PSX1LN9   Item model number:Laptop Bag   Country of Origin:India   Department:Unisex-adult   Manufacturer:AB Amazing Bags   Item Weight:820 g   Item Dimensions LxWxH:56 x 36 x 25 Centimeters   Generic Name:Rucksack  ,B08PSX1LN9,AB Amazing Bags
Northzone Casual Waterproof Laptop Backpack/Office Bag/School Bag/College Bag/Business Bag/Travel Backpack (Dimensions:13x18 inches) (Compatible with 39.62cm(15.6inch laptop) 30 L,"  Care Instructions: Machine Wash    Sleek, Stylish and Premium: Heavy duty ultra premium bag with exterior dimensions 44x29x15 cms. Made of Durable Polyester Fabric with Double zippers. sturdy durable, scratch resistant.; Multi Utility Bag: It is not only a student backpack, but also can be used as a business/work backpack, travelling, office, computer bag, hiking bag, daily bag and a lot more.    Storage Space: There is a separate laptop compartment inside the backpack that can hold upto 15.6 inches laptop. The internal packaging compartment and external pockets can hold daily necessities, keeping your items organized and easier to find.    Quick Storage: The front and side zipper pockets of the backpack are convenient for storing tablets, diaries, pens and pencils, smartphones, cards, change, etc. The side pockets of the backpack are convenient for storing compact umbrellas and other small items.   ",  Product Dimensions:48 x 32 x 15 cm; 1 Kilograms   Date First Available:12 January 2023   Manufacturer:SHABA BAGS   ASIN:B0BS6QM2GD   Item model number:DB01   Country of Origin:India   Department:Unisex-adult   Manufacturer:SHABA BAGS   Item Weight:1 kg   Item Dimensions LxWxH:48 x 32 x 15 Centimeters   Net Quantity:1.00 count  ,B0BS6QM2GD,SHABA BAGS
Stark Lightweight Laptop Bags Backpacks for Boys Girls Stylish Men and Women Casual 15.6 inch 32 L Travel Laptop Bag College Office School,"  Care Instructions: Hand Wash Only    Made of Canvas look a like Premium Heathered PU coated Polyester Fabric With 35 Litres Capacity     Casual Laptop Backpack with a color for everyone’s taste. Can fit all 15 inch laptops.     Two Main compartments with a laptop sleeve , Two front compartment with an Pen-Pocket/organiser , Two side pockets with a bottle holding elastic , Padded Ergonomic Shoulder Straps and cushioned back.     High Quality Nylon Threads and Polyester tapes , All YKK Zippers.; 1 Year warranty against all manufacturing defects.     Style Name: Classic; Pattern Name: Solid; Age Range Description: Adult; Pocket Description: Utility Pocket    ","  Product Dimensions:19 x 36 x 48 cm; 580 Grams   Date First Available:23 July 2022   Manufacturer:STRABO   ASIN:B0B7FK5B9X   Item model number:Stark_Blue   Country of Origin:India   Department:Unisex-adult   Manufacturer:STRABO, STRABO BAGS AND ACCESSORIES LLP; assistme@strabo.one   Item Weight:580 g   Item Dimensions LxWxH:19 x 36 x 48 Centimeters  ",B0B7FK5B9X,STRABO
"uppercase Medium 23 Ltrs Tall Boy (14.6 inch) Laptop Backpack 2500EBP1 3x more water resistant sustainable bag with rain proof zippers for Men, Women, Boys and Girls, 750 Days warranty","  Care Instructions: Wipe with Damp Cloth    Handcrafted with care and made up of premium quality robust material, Wrinkle free bag and 3x more water resistant with Rainproof zippers   ","  Product Dimensions:16.2 x 30.5 x 46 cm; 0.55 Grams   Date First Available:29 July 2022   Manufacturer:Acefour Accessories Pvt. Ltd.   ASIN:B0B81YTTWS   Item model number:2500EBP1BLU   Country of Origin:India   Department:Unisex-adult   Manufacturer:Acefour Accessories Pvt. Ltd., Acefour Accessories Pvt. Ltd. , Lodha Supremus Corp. Tower, Unit 1202,12th Floor,Saki Vihar road, Chandivali, Tunga Village, Opp. MTNL office, Andheri E, Mumbai -400072, Maharashtra, India   Item Weight:0.55 g   Item Dimensions LxWxH:16.2 x 30.5 x 46 Centimeters   Net Quantity:1.00 count  ",B0B81YTTWS,Acefour Accessories Pvt. Ltd.
"uppercase Laptop Backpack Printed Compact 3x more water repellent sustainable bags with rain proof zippers for Men, Women, Boys & Girls(Pink)","  Care Instructions: Wipe with Damp Cloth    Please reach out to our customer care at +91 8691800800 or email at customercare@uppercase.co.in for warranty registration and any query regarding the product. Handcrafted with care and made up of premium quality robust material     Printed & Compact yet spacious; Wrinkle free bag and 3x more water resistant with Rainproof zippers     Right sized with sturdy stitching; Dimension: (30.3 cm x 14.5 cm x 43 cm); Warranty: 750 days international warranty     GRS certified for sustainability; The GRS (Global Recycled Standard) is intended for use with any product that contains at least 50% Recycled Material (License No. CMPY-158596); Padded laptop compartment fits up to 15"" Laptop, Front Access pocket & Back padding with Air mesh     Material Type: Polyester; Pocket Description: Stash Pocket; Special Features: Waterproof; Lining Description: Polyester; Style Name: Casual; Age Range Description: Adult    ","  Product Dimensions:14.5 x 30.3 x 43 cm; 350 Grams   Date First Available:16 August 2022   Manufacturer:Acefour Accessories Pvt. Ltd.   ASIN:B0B9T4YDPX   Item model number:1800EBP1PNK   Country of Origin:India   Department:Unisex-adult   Manufacturer:Acefour Accessories Pvt. Ltd., Acefour Accessories Pvt. Ltd. , Lodha Supremus Corp. Tower, Unit 1202,12th Floor,Saki Vihar road, Chandivali, Tunga Village, Opp. MTNL office, Andheri E, Mumbai -400072, Maharashtra, India   Item Weight:350 g   Item Dimensions LxWxH:14.5 x 30.3 x 43 Centimeters   Net Quantity:1.00 count  ",B0B9T4YDPX,Acefour Accessories Pvt. Ltd.
OPTIMA Laptop Backpack of OPT-262/263/273/274/1395/1396,"  Fit Type: Regular    Better human body mechanics straps : our backpack straps is made according human mechanics theory, can balance the weight, and give better buffering support, reducing much more stress than normal bag; and can steer the wind flowing, cooling down your back    Main compartment with double-zipper closure; small zippered pocket on the front side    Lightweight yet durable backpack/daypack for school use or everyday outings    Durable material and solid: made of water resistant and durable polyester fabric with metal zippers. Ensure a secure and long-lasting usage everyday and weekend.serve you well as professional office work bag, slim backpack , college high school big student backpack for boys, girls, teens, adults    Special Features: Expandable; Warranty Description: ?Warranty: We Assure You That You Wont Need To Use The Warranty But Still You Will Get 6 Month Warr; Style Name: Daypack Backpacks; Pocket Description: Utility Pocket; Compartment Description: Greater Than 17 Inches   ","  Is Discontinued By Manufacturer:No   Product Dimensions:30.48 x 15.24 x 50.8 cm; 300 Grams   Date First Available:17 August 2018   Manufacturer:Optima Manufacturing Industries Private Limited   ASIN:B07GLRSVNZ   Item model number:OPT-262   Country of Origin:India   Department:Unisex-adult   Manufacturer:Optima Manufacturing Industries Private Limited, Optima manufacturing industries pvt ltd. plot no 307 phase III sector 53 kundli industrial area sonipat 9811161182   Packer:Optima Manufacturing Industries Private Limited   Item Weight:300 g   Item Dimensions LxWxH:30.5 x 15.2 x 50.8 Centimeters   Net Quantity:1.00 count  ",B07GLRSVNZ,No
Gear CarryOn 16L Foldable Water Resistant School Bag//Backpack/College Bag for Men/Women - Blue Black,"  Outer Material: Polyester, Color: Black and Yellow.Ideal for 3-5 year old children.    Wear Resistant: Wear resistant, Stain resistant, Water Resistance: Water resistant; Dimensions: 49 cms x 33 cms x 10 cms (LxWxH)    Number of compartments: 1; Compatible Laptop Size : 15.4    Warranty Type: Manufacturer; 1 Year from the date of purchase    Pocket Description: Utility Pocket; Color Name: Black And Blue; Age Range Description: Adult; Closure Type: Zipper   ","  Is Discontinued By Manufacturer:No   Product Dimensions:49 x 33 x 10 cm; 82 Grams   Date First Available:17 December 2015   Manufacturer:Gear Merchandise PVT LTD   ASIN:B019HA8AYG   Item model number:BKPCARYON0110   Country of Origin:India   Department:Men   Manufacturer:Gear Merchandise PVT LTD, Gear Merchandise PVT LTD E/12 West Chowbaga Gulshan colony KoLkata-700100 Contact 9830403366   Packer:Gear Merchandise PVT LTD E/12 West Chowbaga Gulshan colony KoLkata-700100 Contact 9830403366   Item Weight:82 g   Item Dimensions LxWxH:49 x 33 x 10 Centimeters   Net Quantity:1 count   Included Components:Backpack   Generic Name:Bag  ",B019HA8AYG,No
Gear Classic 20L Faux Leather Water Resistant Anti Theft Laptop Bag/Backpack for Men/Women-Brown,"  Outer material: synthetic, color: brown    Waterproof    Capacity: 20 liters; Weight: 560 grams; Dimensions: 48 cms x 32 cms x 14 cms (LxWxH)    Number of compartments: 2    Laptop compatibility: yes, laptop size: 16strap type: adjustable    Anti theft waterproof bag with anti sweat fabric on back and shoulder straps    USB and headphone cable slot   ","  Product Dimensions:48 x 32 x 14 cm; 558 Grams   Date First Available:2 August 2018   Manufacturer:Gear Merchandise PVT LTD   ASIN:B07G4F6XFH   Item model number:LBPCLSLTH0201   Country of Origin:India   Department:Unisex-adult   Manufacturer:Gear Merchandise PVT LTD, Gear Merchandise PVT LTD E/12 West Chowbaga Gulshan colony KoLkata-700100 Contact 9830403366   Packer:Gear Merchandise PVT LTD E/12 West Chowbaga Gulshan colony KoLkata-700100 Contact 9830403366   Item Weight:558 g   Item Dimensions LxWxH:48 x 32 x 14 Centimeters   Net Quantity:1 count   Included Components:Laptop Backpack   Generic Name:Laptop Backpack  ",B07G4F6XFH,Gear Merchandise PVT LTD
"HOT DELIVERY BAGS Insulated and Waterproof Door Hanging Bag for Milk Sachets and Bottles Storage, Durable and Light Weight (Sea Green)","  Durable and Lightweight - The Door Hanging Bag is strong and lightweight, holds your bottles snugly in place and protects bottles from breaking. Stain-resistant, reusable and time again, perfect bottle carrier.    Waterproof PVC Fabric for Outer Material & Thermally PET Insulated Linings i.e. Aluminum Linings for Inner Fabric    6 Way Insulation to keep the Milk Cold and Fresh in Any climate, 1 Liter Bottle, 500 ml Bottles ,250 ml Milk bottles can easily be accommodated inside the Insulated Milk Door Hanging Bags    Door Hanging bags are Made From Soft Fabric that protects Milk Glass Bottles from Dust & Scratches and keep the Bottles Temperature stable what it is loaded at    Ice Packs are used to soak the moisture from the bottle and maintain a stable temperature inside the bag   ","  Product Dimensions:22 x 11.9 x 6.3 cm; 210 Grams   Date First Available:1 February 2021   Manufacturer:Shree Suppliers   ASIN:B08VJ4VWGZ   Item model number:Parent_DH_MAIN   Country of Origin:India   Department:Unisex-adult   Manufacturer:Shree Suppliers, Shree Suppliers, 9833712003   Item Weight:210 g   Item Dimensions LxWxH:22 x 11.9 x 6.3 Centimeters   Net Quantity:1.00 count  ",B08VJ4VWGZ,Shree Suppliers
GOCART WITH G LOGO Laptop Backpack Casual Daypacks Briefcase Convertible Business Travel Rucksack with USB Charging Port Large College School Bookbag Computer Laptop Bag,  Compact and lightweight travel backpack can be easily placed under the airline seat.; Slim laptop backpack with spacious room to keep everything organized and easy to find; Padded back and straps make the business backpack comfortable to wear.    Bag size is 42X30X12 CM. and maximum length of laptop can fit is15 inch .; Pocket Description: Utility Pocket; Age Range Description: Kid; Closure Type: Zipper; Pattern Name: Solid    Pattern Name: Solid; Age Range Description: Kid; Closure Type: Zipper; Pocket Description: Utility Pocket    Compartment Description: Up To 15 Inches; Special Features: Zip Closure; Material Type: Polyester   ,  Product Dimensions:12 x 30 x 42 cm; 600 Grams   Date First Available:26 November 2019   Manufacturer:GOCART WITH G LOGO   ASIN:B0822H451W   Item part number:Laptop Backpack   Country of Origin:India   Department:Unisex-adult   Manufacturer:GOCART WITH G LOGO   Item Weight:600 g   Item Dimensions LxWxH:12 x 30 x 42 Centimeters   Net Quantity:1.00 count   Generic Name:Laptop Backpacks  ,B0822H451W,GOCART WITH G LOGO
"F Gear Blow Laptop Backpack With Rain Cover 32 Liters (Black,Grey) Sch Bag","  Water Proof with attached Rain cover.    Reflective Printing and in Built Laptop sleeve    3 compartment, 1 pockets and 2 Bottle pouch.    Comes with the F Gear promise of quality.    Size(Hxlxw)Cm-(50x31x21)   ","  Is Discontinued By Manufacturer:No   Product Dimensions:20.32 x 31.75 x 50.8 cm; 730 Grams   Date First Available:19 December 2017   Manufacturer:Uber Fashion Merchandise Pvt. Ltd.   ASIN:B078J63VRY   Item model number:Uber01030   Country of Origin:India   Department:Unisex-adult   Manufacturer:Uber Fashion Merchandise Pvt. Ltd., Uber Fashion Merchandise Pvt. Ltd. No. 17G/46-3 & 17G/46-3-1 , 1st & 2nd Floor, Industrial Suburb, 2nd Stage, Yeshwantpur, Next to Sapna Books on MEI road, Bangalore – 560 022. INDIA Tel: 9066161590   Packer:Uber Fashion Merchandise Pvt. Ltd. F Gear, Jindal Edifice, No 90/2, 3rd Main, 2nd Stage, Industrial Suburb, Yeshwantpur, Bengaluru, Karnataka 560090   Item Weight:730 g   Item Dimensions LxWxH:20.3 x 31.7 x 50.8 Centimeters   Net Quantity:1 count   Included Components:F Gear 1 Backpack   Generic Name:Laptop Backpack  ",B078J63VRY,No
MOCA 30 Litres Kaka Series Laptop Backpack with USB Charging Port,"  Reliable Quality- Made of high-end Dacron, the backpack is extremely durable, tear-resistant and anti-friction performance.    Reliable Quality- Made of high-end Dacron, the backpack is extremely durable, tear-resistant and anti-friction performance.    ✔ Considerate Details- The thickened shoulder straps and handle enable you to carry the backpack in a more comfortable way. And the mesh design ensures breathable property for upgrading your using experience.    ✔ Multi-purpose Design- With USB cable, USB charging cable and code lock, it is more convenient and safe in use as you can easily charge your phone and have doubled protection.    ✔ ANTI-THEFT ROPE: The main bag is opened and closed by a SBS zipper with a ring, zippers on both sides can be mosaiced, playing the role of anti-theft and providing double protection for your luggage. The key holder is in the front zipper pocket, which helps to store small items such as keys.    ✔ Perfect Gift- Suitable for your male friends, brothers, and other family members.   ",  Is Discontinued By Manufacturer:No   Package Dimensions:32 x 23 x 2 cm; 500 Grams   Date First Available:6 September 2017   ASIN:B07N1LMZJZ   Item part number:2230blue   Country of Origin:China   Item Weight:500 g  ,B07N1LMZJZ,No
Stark Lightweight Laptop Bags Backpacks for Boys Girls Stylish Men and Women Casual 15.6 inch 32 L Travel Laptop Bag College Office School,"  Care Instructions: Hand Wash Only    Made of Canvas look a like Premium Heathered PU coated Polyester Fabric With 35 Litres Capacity     Casual Laptop Backpack with a color for everyone’s taste. Can fit all 15 inch laptops.     Two Main compartments with a laptop sleeve , Two front compartment with an Pen-Pocket/organiser , Two side pockets with a bottle holding elastic , Padded Ergonomic Shoulder Straps and cushioned back.     High Quality Nylon Threads and Polyester tapes , All YKK Zippers.; 1 Year warranty against all manufacturing defects.     Style Name: Classic; Pocket Description: Utility Pocket; Age Range Description: Adult; Pattern Name: Solid    ","  Product Dimensions:19 x 36 x 48 cm; 580 Grams   Date First Available:23 July 2022   Manufacturer:STRABO   ASIN:B0B7FH936K   Item model number:Stark_Cream   Country of Origin:India   Department:Unisex-adult   Manufacturer:STRABO, STRABO BAGS AND ACCESSORIES LLP; assistme@strabo.one   Item Weight:580 g   Item Dimensions LxWxH:19 x 36 x 48 Centimeters  ",B0B7FH936K,STRABO
Tommy Hilfiger Joshua 15 inch 21 Ltrs Light Grey Laptop Backpack (TH/JOSHUALAP07),"  Outer Material: Polyester, Color: Black;Water resistant    Capacity: 21 liters; Dimensions: 32 cms x 14 cms x 46 cms (LxWxH)    Number of compartments: 3; Laptop Compatibility: Yes, Laptop Size: 15 inches    Warranty type: Manufacturer; 1 year    Closure Type: Zipper; Age Range Description: Adult   ","  Product Dimensions:14 x 46 x 32 cm; 400 Grams   Date First Available:30 January 2019   Manufacturer:Iff Overseas Pvt Ltd   ASIN:B07N8GRWTZ   Item model number:TH/JOSHUALAP01   Country of Origin:India   Manufacturer:Iff Overseas Pvt Ltd, Iff Overseas Pvt Ltd, 140/2/2, Ring Road Sqaure, Musakhedi, Indore, Madhya Pradesh, 452001; 07314223000   Packer:Brand Concepts Ltd, 140/2/2, Ring Road Sqaure, Musakhedi, Indore, Madhya Pradesh, 452001; 07314223000   Item Weight:400 g   Item Dimensions LxWxH:14 x 46 x 32 Centimeters   Net Quantity:1 count   Included Components:Backpack   Generic Name:Laptop Backpack  ",B07N8GRWTZ,Iff Overseas Pvt Ltd
Tabelito® Laptop Bag For Men and women Briefcase 15.6 Inch (39.6 cm) Messenger Side Shoulder Travel bags for mens Water Resistant gifts office bag for men,"  Made of durable water-resistant exterior fabric as well as protective soft padded interior. Laced with zippers for a long life span. it's also called such as side bag for men and sling bags for men .bag for men    Laptop bags Ultra Protection: Tabelito laptop shoulder bag features protective padding at the bottom of the individual laptop compartment and ultra-thick. you can use it as bags for mens ,side bag for men / side bag for men / office bag for women / gift for men . it's can be use as a interview bag or interview purpose    Well-organized: The main compartment features a laptop slot and a tablet slot for up to 11"" iPad Pro with smart case & keyboard. its also use as a office bag for women , office bag for men    Compact and Easy to Carry: Being lightweight, this bag can be comfortably carried with the handle . you can use it such as shoulder bag men , messenger bags for men , leather laptop bags for men/ laether briefcase / leather bag for men / office bag for women / laptop accessories / backpack for women    Adjustable shoulder strap, or hang on your suitcase through the luggage strap or slipped inside your backpack, messenger bag    Bag is perfect to carry laptops notebook up to 15.6 inch include 2019 New MacBook Pro 16 , MacBook Pro (Retina) 15, and other 14-15.6 inch Dell XPS / HP    Two front pockets With small and large pockets, and multiple elastic bands to make it easier than ever to organize accessories such as charger, cable, mouse, hub etc.   ","  Product Dimensions:33 x 44 x 9 cm; 499 Grams   Date First Available:10 August 2020   Manufacturer:Tabelito   ASIN:B08FKXCJNQ   Item model number:TAB-BC-G   Country of Origin:India   Department:Unisex-adult   Manufacturer:Tabelito, Prop No: 5, Ground Floor, Kh No:641, Village Rithala, Land Mark: Near Suzuki service center (Rithala)   Packer:9958166528   Importer:9958166528   Item Weight:499 g   Item Dimensions LxWxH:33 x 44 x 9 Centimeters   Net Quantity:1 U   Included Components:Laptop Briefcase   Generic Name:Laptop Briefcase  ",B08FKXCJNQ,Tabelito
Fostelo Handbag For Women And Girls | Ladies Purse Faux Leather Satchel Bag | Woman Gifts | Wedding Gifts For Women | Women 3 Compartments Bag | Travel Purse Hobo Bag | 5 Pockets Shoulder Bag,"  Warranty :- 1 Year Warranty On Manufacturing Defects. 100% Quality Assured.    Dimensions (In Inches) :- 9"" Tall X 14"" Wide X 4"" Deep    Compartments :- 3 Zip Compartments And 1 Back Zip Pocket    Material :-100% PU | Colour :- Maroon   ","  Product Dimensions:32 x 3 x 20 cm; 550 Grams   Date First Available:5 February 2018   Manufacturer:Fostelo   ASIN:B079MD5F7R   Item model number:FSB-1033   Country of Origin:India   Department:Women   Manufacturer:Fostelo, Promunt Online Services Pvt Ltd 6-2-119/1/A, New Bhoiguda Secunderabad Hyderabad Telangana - 500003   Packer:Promunt Online Services Pvt Ltd 6-2-119/1/A, New Bhoiguda Secunderabad Hyderabad Telangana - 500003   Item Weight:550 g   Item Dimensions LxWxH:32 x 3 x 20 Centimeters   Net Quantity:1.00 count   Included Components:Messenger Bag   Generic Name:Handbag  ",B079MD5F7R,Fostelo
"FUR JADEN 15.6 Inch Smart Laptop Backpack Bag With USB Charging Port, Anti Theft Pocket and Accessories Organiser for Men Women Boys Girls","  Care Instructions: Wipe with Damp Cloth    Essence: This Fur Jaden smart laptop backpack is for Men and Women who are looking for a voguish, modernistic and branded backpack while having the option to not compromise on quality and be able to carry tons of stuff. Easy Access Pockets: A sleek anti theft pocket on the back as well as 2 pockets on the front side help keep all your belongings comfortably organised.    Multi Functional: This Fur Jaden Smart Backpack for men and women comes with a USB Charging Port which offers a convenient way to ensure you never run out of battery on the go. Organizer Pockets in the front compartment help keep al your accessories organized. Padded Laptop compartment helps keep your laptop safe.    Ergonomic Design: The backpack features a sleek and ergonomic design with a balanced weight distribution through its straps to reduce the load bearing on your shoulders while the padded ventilated air mesh helps reduce sweat. This makes this bagpack a suitable alternative to bulky and unsightly laptop backpacks. The compact design of this Fur Jaden smart travel bag helps you to rest it comfortably on your shoulders while accommodating all your essentials with ease.    Dimensions: 48 CM (H) x 30CM (W) x 15CM (D). Weight: 450 Grams. Volume: 22L    Warranty: 1 Year Manufacturer Warranty Against Manufacturing Defects.   ","  Product Dimensions:15 x 30 x 48 cm; 450 Grams   Date First Available:17 January 2023   Manufacturer:Fur Jaden   ASIN:B0BSHBH9K2   Item model number:BM87   Country of Origin:India   Department:Unisex-adult   Manufacturer:Fur Jaden, Fur Jaden, 3C Jai Hind Bld, Dr AM Road, Bhuleshwar, Mumbai 400002   Packer:Fur Jaden, 3C Jai Hind Bld, Dr AM Road, Bhuleshwar, Mumbai 400002   Item Weight:450 g   Item Dimensions LxWxH:15 x 30 x 48 Centimeters   Net Quantity:1.00 count   Generic Name:15.6 Inch Laptop Backpack with USB Charging Port  ",B0BSHBH9K2,Fur Jaden
